"Species_name","Accepted_name","Family","Tribe","Frequency","Freq_rural","Freq_suburb","Freq_urban","Status_Berlin","first_evidence","Flowering_beg","Flowering_end","fl_period","phenology_score","main_pollination","Mueller_flower_type","pollen_score","trait_source","allergenicity_strict","allergenicity","allergen_score","PAV","IUIS","SDAP","Allergenonline","Allergome","AllFam","additional_ref","react_europe_Allergome","FDA_allergen_code","ref_severity","Comment_severity","molecule_unknown"
"Bromus inermis","Bromus_inermis","Poaceae","Bromeae",6,2,1,3,"N",1787,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,0,1,"40%",614,"Weber 2004","cross-reactivity with other Pooideae",0
"Bromus sterilis","Bromus_sterilis","Poaceae","Bromeae",4,2,2,0,"A",,"May","June",1,1,"cleistogamy","W (wind flowers)Typical pollinators: -",1,"BioFlor- 2018",1,1,3,3,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses, genus Bromus",0
"Bromus tectorum","Bromus_tectorum","Poaceae","Bromeae",4,1,3,0,"A",,"May","June",1,1,"cleistogamy","W (wind flowers)Typical pollinators: -",1,"BioFlor- 2018",1,1,3,3,0,0,0,0,0,1,"",,"Weber 2004; 2015","cross-reactivity with other Pooideae, Poeae grasses, genus Bromus",0
"Calamagrostis epigejos","Calamagrostis_epigejos","Poaceae","Poeae",23,8,9,6,"I",,"July","August",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,0,0,1,"",,"Weber 2004","cross-reactivity with other Pooideae",0
"Campanula rapunculus","Campanula_patula_var._rapunculus","Campanulaceae",,1,0,1,0,"N",1859,"June","August",2,2,"insects","Hb (bee flowers )Typical pollinators: bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Capsella bursa-pastoris","Capsella_bursa-pastoris","Brassicaceae","Camelineae",3,2,0,1,"A",,"January","December",11,3,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cardamine hirsuta","Cardamine_hirsuta","Brassicaceae","Cardamineae",4,1,1,2,"N",1843,"March","June",3,3,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Carex arenaria","Carex_arenaria","Cyperaceae","Cariceae",4,2,2,0,"I",,"May","October",5,3,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,1,9,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Carex caryophyllea","Carex_caryophyllea","Cyperaceae","Cariceae",1,0,1,0,"I",,"April","May",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2020",1,1,1,3,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Carex hirta","Carex_hirta","Cyperaceae","Cariceae",17,4,9,4,"I",,"May","June",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,1,3,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Carex ligerica","Carex_ligerica","Cyperaceae","Cariceae",1,0,1,0,"I",,"April","May",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2020",1,1,1,3,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Carex praecox","Vignea_praecox","Cyperaceae","Cariceae",5,2,3,0,"I",,"April","June",2,2,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,1,6,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Carex spicata","Carex_spicata","Cyperaceae","Cariceae",1,0,0,1,"I",,"May","June",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,1,3,0,0,0,0,0,1,"",1251,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1
"Centaurea jacea","Centaurea_jacea","Asteraceae","Cardueae",1,0,1,0,"I",,"June","November",5,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Centaurea stoebe","Centaurea_stoebe","Asteraceae","Cardueae",20,3,6,11,"I",,"July","September",2,2,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cerastium arvense","Cerastium_arvense","Caryophyllaceae","Alsineae",6,2,2,2,"I",,"April","July",3,3,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cerastium glomeratum","Cerastium_glomeratum","Caryophyllaceae","Alsineae",3,1,0,2,"I",,"March","September",6,3,"selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",0,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Cerastium glutinosum","Cerastium_kunthii","Caryophyllaceae","Alsineae",6,2,2,2,"I",,"March","May",2,2,"insects-selfing","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
